"CAMPAIGN_PERFORMANCE_REPORT (Apr 12, 2016-May 11, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,Cost
2016-05-11,382431634,LICHFL ( REVISED),0,0,0
2016-04-13,382815034,Moonbow search(Revised),0,0,0
2016-04-14,382815034,Moonbow search(Revised),0,0,0
2016-04-15,382815034,Moonbow search(Revised),0,0,0
2016-04-16,382815034,Moonbow search(Revised),0,0,0
2016-04-18,382815034,Moonbow search(Revised),0,0,0
2016-04-20,382815034,Moonbow search(Revised),0,0,0
2016-04-21,382815034,Moonbow search(Revised),0,0,0
2016-04-22,382815034,Moonbow search(Revised),0,0,0
2016-04-26,382815034,Moonbow search(Revised),0,0,0
2016-04-27,382815034,Moonbow search(Revised),0,0,0
2016-04-28,382815034,Moonbow search(Revised),0,0,0
2016-05-03,382815034,Moonbow search(Revised),0,0,0
2016-05-04,382815034,Moonbow search(Revised),0,0,0
2016-05-06,382815034,Moonbow search(Revised),0,0,0
2016-05-07,382815034,Moonbow search(Revised),0,0,0
2016-05-08,382815034,Moonbow search(Revised),0,0,0
2016-05-09,382815034,Moonbow search(Revised),0,0,0
2016-05-10,382815034,Moonbow search(Revised),0,0,0
2016-05-11,382815034,Moonbow search(Revised),0,0,0
2016-04-14,382816714,Moonbow search(revised),0,0,0
2016-04-16,382816714,Moonbow search(revised),0,0,0
2016-04-20,382816714,Moonbow search(revised),0,0,0
2016-04-22,382816714,Moonbow search(revised),0,0,0
2016-04-25,382816714,Moonbow search(revised),0,0,0
2016-04-28,382816714,Moonbow search(revised),0,0,0
2016-04-29,382816714,Moonbow search(revised),0,0,0
2016-05-02,382816714,Moonbow search(revised),0,0,0
2016-05-03,382816714,Moonbow search(revised),0,0,0
2016-05-05,382816714,Moonbow search(revised),0,0,0
2016-05-06,382816714,Moonbow search(revised),0,0,0
2016-05-07,382816714,Moonbow search(revised),0,0,0
2016-05-08,382816714,Moonbow search(revised),0,0,0
2016-05-09,382816714,Moonbow search(revised),0,0,0
2016-05-10,382816714,Moonbow search(revised),0,0,0
2016-04-12,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-13,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-14,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-16,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-18,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-21,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-22,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-23,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-25,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-27,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
2016-04-29,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,0
