"KEYWORDS_PERFORMANCE_REPORT (Jan 1, 2016-Nov 30, 2016)"
Day,Campaign ID,Campaign,Keyword ID,Keyword,Impressions,Clicks,Conversions,Cost
2016-02-24,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,1573971742,carbon air purifier,1,0,0.0,0
2016-03-11,377282074,LICHFL - Search campaign,16343992,home loan quotes,3,0,0.0,0
2016-01-27,366284074,Moonbow Air purifier Launch ( Search),139414122,air purifiers hepa,15,0,0.0,0
2016-03-22,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,27122081263,"+rainbow +air +purifier",3,0,0.0,0
2016-03-03,377282074,LICHFL - Search campaign,360487109,idbi housing loan,18,0,0.0,0
2016-02-09,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,31051581,car air purifier,93,1,0.0,46750000
2016-03-15,382816714,Moonbow search(revised),257735648,best home air purifiers,155,1,0.0,50650000
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),10032622,portable air cleaners,2,0,0.0,0
2016-01-07,363250354,Batman Delivery,49100357724,online order food gurgaon,4,0,0.0,0
2016-03-02,377282074,LICHFL - Search campaign,10914001,home loan,5,0,0.0,0
2016-03-12,382816714,Moonbow search(revised),470249448,hepa 10,1,0,0.0,0
2016-01-31,366284074,Moonbow Air purifier Launch ( Search),15011090,electronic air cleaners,1,0,0.0,0
2016-03-12,382431634,LICHFL ( REVISED),44984693,loan for property,1,0,0.0,0
2016-02-27,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,1586851949,top air purifiers,1,0,0.0,0
2016-01-11,363250354,Batman Delivery,47044133326,online food delivery in gurgaon,31,0,0.0,0
2016-03-18,382816714,Moonbow search(revised),13812680,hepa filter vacuums,1,0,0.0,0
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),23898641,ac filter,2,0,0.0,0
2016-02-12,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,14586931,indoor air purifier,1,0,0.0,0
2016-02-07,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,15386782,home air purifier,1,0,0.0,0
2016-02-06,366284074,Moonbow Air purifier Launch ( Search),313665727,purifier filter,60,0,0.0,0
2016-03-18,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,14586801,air purifiers,37,0,0.0,0
2016-02-07,366284074,Moonbow Air purifier Launch ( Search),13812950,hepa air filtration,3,0,0.0,0
2016-02-24,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,36683086,air purifier compare,2,0,0.0,0
2016-02-12,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,32690726858,"+kenmore +air +purifier",1,0,0.0,0
2016-03-13,377282074,LICHFL - Search campaign,350465406,house loan india,1,0,0.0,0
2016-01-17,366284074,Moonbow Air purifier Launch ( Search),84025042706,best air purifiers india,2,0,0.0,0
2016-01-31,366284074,Moonbow Air purifier Launch ( Search),16111551,portable air purifier,1,0,0.0,0
2016-03-17,382816714,Moonbow search(revised),53891507,best purifier,50,0,0.0,0
2016-01-21,366284074,Moonbow Air purifier Launch ( Search),92164773,ionized air purifier,11,0,0.0,0
2016-03-03,377282074,LICHFL - Search campaign,360453449,housing loan interest,1,0,0.0,0
2016-03-12,382431634,LICHFL ( REVISED),34052799208,lic housing loan processing fee,3,1,0.0,27580000
2016-02-25,377282074,LICHFL - Search campaign,360460169,bank housing loans,8,0,0.0,0
2016-03-08,377282074,LICHFL - Search campaign,360486989,lic housing loans,1090,124,0.0,595060000
2016-03-14,382431634,LICHFL ( REVISED),64833347964,lic housing finance loan status online,1,0,0.0,0
2016-03-17,382816714,Moonbow search(revised),1505051940,air filter best,1,0,0.0,0
2016-01-15,366284074,Moonbow Air purifier Launch ( Search),23997963,hepa furnace filter,3,0,0.0,0
2016-03-16,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,19687530743,"+silent +air +purifier",1,0,0.0,0
2016-02-06,366284074,Moonbow Air purifier Launch ( Search),47098208,3m air purifier,1,0,0.0,0
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),189987540,air filter cleaners,1,0,0.0,0
2016-02-06,366284074,Moonbow Air purifier Launch ( Search),47644651,heater filters,1,0,0.0,0
2016-02-13,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,37792501,electrostatic air purifier,1,0,0.0,0
2016-02-12,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,18981795770,"+ionic +pro +air +purifier",2,0,0.0,0
2016-03-14,382816714,Moonbow search(revised),14356590,air ionizers,1,0,0.0,0
2016-03-13,377282074,LICHFL - Search campaign,191593315234,Lic housing loan eligibility,4,0,0.0,0
2016-01-09,363250354,Batman Delivery,3088945916,food delivery delhi,85,7,0.0,135950000
2016-02-28,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,25771835899,"+ozone +air +purifiers",1,0,0.0,0
2016-03-06,377282074,LICHFL - Search campaign,92012345,home finance companies,1,0,0.0,0
2016-03-14,382431634,LICHFL ( REVISED),2988351661,insurance for home loan,1,1,0.0,29580000
2016-02-04,366284074,Moonbow Air purifier Launch ( Search),43985243975,buy air purifier india,3,0,0.0,0
2016-03-08,377282074,LICHFL - Search campaign,607342181,financial help for housing,1,0,0.0,0
2016-02-27,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,189024108994,air purifier moonbow,1,0,0.0,0
2016-03-11,377282074,LICHFL - Search campaign,191593314514,Lic housing home loan,1,0,0.0,0
2016-03-05,373628914,[S[Moonbow_Air Filter]: Generic,5090964503,air filter fans,3,0,0.0,0
2016-02-11,366284074,Moonbow Air purifier Launch ( Search),25436690,activated carbon filter,1,0,0.0,0
2016-02-08,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,29480331575,"+air +purifier +house",1,0,0.0,0
2016-01-28,366284074,Moonbow Air purifier Launch ( Search),127934300,sharp air purifier,13,0,0.0,0
2016-01-22,363250354,Batman Delivery,184386632194,batman delivers contact,1,0,0.0,0
2016-02-02,366284074,Moonbow Air purifier Launch ( Search),29456246774,india air purifier,4,0,0.0,0
2016-02-09,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,1490332061,large air purifier,1,0,0.0,0
2016-02-19,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,27639402,best air purifiers,8,0,0.0,0
2016-03-13,382431634,LICHFL ( REVISED),100244698,house mortgage interest rate,1,0,0.0,0
2016-03-15,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,37791941,buy air purifier,3,0,0.0,0
2016-02-25,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,27639402,best air purifiers,3,0,0.0,0
2016-03-20,366284074,Moonbow Air purifier Launch ( Search),453386354,air filter fan,4,0,0.0,0
2016-02-24,366284074,Moonbow Air purifier Launch ( Search),37443981,auto air purifier,1,0,0.0,0
2016-01-30,366284074,Moonbow Air purifier Launch ( Search),118978863,cheap air purifier,24,0,0.0,0
2016-02-26,377282074,LICHFL - Search campaign,646765874,housing financial,137,8,0.0,66860000
2016-01-08,363250354,Batman Delivery,49771557036,late night food delivery gurgaon,6,0,0.0,0
2016-02-20,366284074,Moonbow Air purifier Launch ( Search),176590964,air intake filters,13,0,0.0,0
2016-01-21,366284074,Moonbow Air purifier Launch ( Search),189987540,air filter cleaners,3,0,0.0,0
2016-02-10,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,29480326655,"+air +purifiers +ratings",1,0,0.0,0
2016-03-11,366284074,Moonbow Air purifier Launch ( Search),20365623,indoor air cleaners,1,0,0.0,0
2016-03-12,382816714,Moonbow search(revised),122464500,air cleaners purifiers,6,0,0.0,0
2016-03-21,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,14586931,indoor air purifier,5,0,0.0,0
2016-02-17,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,978708868,best home air purifier,1,0,0.0,0
2016-02-07,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,27295790450,"+air +purifier +remove +dust",2,0,0.0,0
2016-03-11,382431634,LICHFL ( REVISED),12912446741,lic home loan application form,1,1,0.0,23140000
2016-01-08,363250354,Batman Delivery,46301030605,online food delivery gurgaon,86,1,0.0,20160000
2016-02-25,366284074,Moonbow Air purifier Launch ( Search),31137381,bathroom air purifier,1,0,0.0,0
2016-03-07,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,23311128506,"+personal +air +purifiers",1,0,0.0,0
2016-01-19,366284074,Moonbow Air purifier Launch ( Search),127934300,sharp air purifier,30,0,0.0,0
2016-01-02,363250354,Batman Delivery,3481153412,kfc home delivery,391,5,0.0,118170000
2016-02-24,366284074,Moonbow Air purifier Launch ( Search),5414209520,air purifier dust remover,5,0,0.0,0
2016-02-22,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,14586851,air purifier,809,5,0.0,222630000
2016-02-29,366284074,Moonbow Air purifier Launch ( Search),13812950,hepa air filtration,2,0,0.0,0
2016-03-12,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,22975955136,"+air +purifier +reviews",1,0,0.0,0
2016-03-10,382431634,LICHFL ( REVISED),23725392521,www.lichfl.com,1,0,0.0,0
2016-02-15,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,24485122793,"+air +purifier +price",34,1,0.0,21620000
2016-01-31,366284074,Moonbow Air purifier Launch ( Search),44678790,ionizing air purifiers,1,0,0.0,0
2016-03-17,382816714,Moonbow search(revised),14642713,uv air purifiers,5,0,0.0,0
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),25436690,activated carbon filter,37,0,0.0,0
2016-03-16,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,36683086,air purifier compare,1,0,0.0,0
2016-03-11,377282074,LICHFL - Search campaign,17842850,housing loans india,2,1,0.0,16340000
2016-03-02,377282074,LICHFL - Search campaign,30558103,housing loan,129,1,0.0,15400000
2016-02-16,366284074,Moonbow Air purifier Launch ( Search),44028918127,air purifier price in india,4,0,0.0,0
2016-02-23,366284074,Moonbow Air purifier Launch ( Search),35630481,ion air purifiers,4,0,0.0,0
2016-01-16,363250354,Batman Delivery,184386632194,batman delivers contact,1,0,0.0,0
2016-01-21,366284074,Moonbow Air purifier Launch ( Search),23898641,ac filter,1,0,0.0,0
2016-03-19,366284074,Moonbow Air purifier Launch ( Search),21830190,portable air cleaner,1,0,0.0,0
2016-02-29,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,88239860,shop air purifier,1,0,0.0,0
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),12205430,hepa air purifiers,41,0,0.0,0
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),22717533,air purifiers review,2,0,0.0,0
2016-02-03,366284074,Moonbow Air purifier Launch ( Search),140700082,air purifier sale,4,0,0.0,0
2016-02-17,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,15386762,hepa air purifiers,3,0,0.0,0
2016-02-20,366284074,Moonbow Air purifier Launch ( Search),572069212,air purifier filter replacement,1,0,0.0,0
2016-03-04,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,12557897,commercial air cleaner,6,0,0.0,0
2016-03-21,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,2009374061,air purifiers for home,4,0,0.0,0
2016-03-13,377282074,LICHFL - Search campaign,883560712,home loan emi,6,0,0.0,0
2016-02-25,377282074,LICHFL - Search campaign,53382940,home loan cal,8,0,0.0,0
2016-03-06,366284074,Moonbow Air purifier Launch ( Search),286224869,top 10 air purifier,2,0,0.0,0
2016-03-07,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,2498789007,air purifier machine,3,0,0.0,0
2016-01-22,366284074,Moonbow Air purifier Launch ( Search),3000619836,ionic air purifier ozone ionizer,7,0,0.0,0
2016-03-13,382816714,Moonbow search(revised),811235925,ozone generator air purifier,3,0,0.0,0
2016-03-15,366284074,Moonbow Air purifier Launch ( Search),118978863,cheap air purifier,1,0,0.0,0
2016-02-10,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,1610423141,air purifier prices,2,0,0.0,0
2016-01-09,363250354,Batman Delivery,1764686626,food in delhi,277,2,0.0,25510000
2016-01-19,366284074,Moonbow Air purifier Launch ( Search),20364233,air filter cleaning,1,0,0.0,0
2016-02-03,366284074,Moonbow Air purifier Launch ( Search),47098208,3m air purifier,17,0,0.0,0
2016-02-22,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,2498789007,air purifier machine,3,0,0.0,0
2016-03-11,366284074,Moonbow Air purifier Launch ( Search),140699982,air purifier and humidifier,1,0,0.0,0
2016-03-16,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,14586851,air purifier,696,6,0.0,343910000
2016-03-21,382816714,Moonbow search(revised),20362933,fresh air systems,4,0,0.0,0
2016-03-10,377282074,LICHFL - Search campaign,360487109,idbi housing loan,1,0,0.0,0
