"AUDIENCE_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Audience,Impressions,Clicks,Conversions,Cost
2016-04-15,390878914,TNT GDN,uservertical::92911,1331,0,0.0,1151070
2016-04-07,390878914,TNT GDN,uservertical::92911,25326,5,0.0,47500430
2016-04-08,390878914,TNT GDN,uservertical::92911,6152,3,0.0,10008090
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::90400,6,0,0.0,0
2016-04-12,390878914,TNT GDN,uservertical::92911,1968,1,0.0,3081450
2016-04-18,390878914,TNT GDN,uservertical::92911,23924,4,0.0,39289220
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92508,6,0,0.0,0
2016-04-08,390878914,TNT GDN,uservertical::92002,22518,1,0.0,38360180
2016-04-12,390878914,TNT GDN,uservertical::92002,47363,6,0.0,74969550
2016-04-17,390878914,TNT GDN,uservertical::92002,2805,1,0.0,3083080
2016-04-16,390878914,TNT GDN,uservertical::92002,3319,1,0.0,3951900
2016-04-02,390878914,TNT GDN,uservertical::92002,5124,0,0.0,8106280
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92504,6,0,0.0,0
2016-04-17,390878914,TNT GDN,uservertical::92911,35174,6,0.0,48829490
2016-04-16,390878914,TNT GDN,uservertical::92002,34915,6,0.0,57674320
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91700,2,0,0.0,0
2016-04-05,390878914,TNT GDN,uservertical::92002,5091,0,0.0,7407580
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::91100,1,0,0.0,1630000
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92504,96,1,0.0,26600000
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91900,10834,19,0.0,3057460000
2016-04-01,390878914,TNT GDN,uservertical::92911,20484,2,0.0,36278360
2016-04-15,390878914,TNT GDN,uservertical::92002,5219,0,0.0,6062940
2016-04-13,390878914,TNT GDN,uservertical::92911,15738,3,0.0,22680920
2016-04-01,390878914,TNT GDN,uservertical::92002,14158,3,0.0,25948130
2016-04-11,390878914,TNT GDN,uservertical::92911,4478,0,0.0,9242940
2016-04-07,390878914,TNT GDN,uservertical::92911,14543,2,0.0,21065760
2016-04-14,390878914,TNT GDN,uservertical::92911,668,0,0.0,742770
2016-04-03,390878914,TNT GDN,uservertical::92911,1005,0,0.0,1565210
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::91500,1,0,0.0,0
2016-04-19,390878914,TNT GDN,uservertical::92911,3,0,0.0,7860
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92702,2,0,0.0,0
2016-04-12,390878914,TNT GDN,uservertical::92911,17178,1,0.0,26200450
2016-04-10,390878914,TNT GDN,uservertical::92911,8233,2,0.0,16461110
2016-04-19,390878914,TNT GDN,uservertical::92002,9,0,0.0,13900
2016-04-18,390878914,TNT GDN,uservertical::92911,330,0,0.0,460530
2016-04-02,390878914,TNT GDN,uservertical::92911,4942,0,0.0,9091890
2016-04-14,390878914,TNT GDN,uservertical::92002,4082,0,0.0,4508860
2016-04-06,390878914,TNT GDN,uservertical::92002,52603,13,0.0,79059130
2016-04-10,390878914,TNT GDN,uservertical::92911,39316,8,0.0,67994740
2016-04-09,390878914,TNT GDN,uservertical::92002,7858,0,0.0,14833640
2016-04-17,390878914,TNT GDN,uservertical::92911,420,0,0.0,417430
2016-04-09,390878914,TNT GDN,uservertical::92911,34026,9,0.0,67852870
2016-04-04,390878914,TNT GDN,uservertical::92911,21508,2,0.0,31054370
2016-04-05,390878914,TNT GDN,uservertical::92911,1580,0,0.0,2142450
2016-04-11,390878914,TNT GDN,uservertical::92911,28549,6,0.0,48478770
2016-04-03,390878914,TNT GDN,uservertical::92911,23210,1,0.0,33752120
2016-04-03,390878914,TNT GDN,uservertical::92002,3383,0,0.0,4230810
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92508,1,0,0.0,0
2016-04-04,390878914,TNT GDN,uservertical::92002,5701,0,0.0,8626460
2016-04-01,390878914,TNT GDN,uservertical::92911,11599,1,0.0,23224540
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91100,8,0,0.0,3570000
2016-04-15,390878914,TNT GDN,uservertical::92911,20760,6,0.0,25935800
2016-04-18,390878914,TNT GDN,uservertical::92002,46525,8,0.0,81811880
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92702,10,0,0.0,0
2016-04-13,390878914,TNT GDN,uservertical::92002,7659,2,0.0,9400110
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92911,5,0,0.0,0
2016-04-11,390878914,TNT GDN,uservertical::92002,36712,1,0.0,65474130
2016-04-02,390878914,TNT GDN,uservertical::92911,38400,10,0.0,70432630
2016-04-08,390878914,TNT GDN,uservertical::92911,19059,2,0.0,34368670
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92911,2,0,0.0,0
2016-04-16,390878914,TNT GDN,uservertical::92911,763,0,0.0,1073990
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91500,6,0,0.0,5780000
2016-04-14,390878914,TNT GDN,uservertical::92002,46091,10,0.0,72906340
2016-04-05,390878914,TNT GDN,uservertical::92002,52620,10,0.0,80885100
2016-04-07,390878914,TNT GDN,uservertical::92002,35168,10,0.0,54883630
2016-04-02,390878914,TNT GDN,uservertical::92002,30887,2,0.0,49880420
2016-04-19,390878914,TNT GDN,uservertical::92002,210,0,0.0,364790
2016-04-04,390878914,TNT GDN,uservertical::92002,48359,1,0.0,78358160
2016-04-19,390878914,TNT GDN,uservertical::92911,77,0,0.0,115060
2016-04-13,390878914,TNT GDN,uservertical::92911,896,0,0.0,1122320
2016-04-17,390878914,TNT GDN,uservertical::92002,37960,6,0.0,55572240
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91800,971,1,0.0,319110000
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92901,7,1,0.0,3890000
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92000,92,1,0.0,29890000
2016-04-06,390878914,TNT GDN,uservertical::92000,247756,49,0.0,359034880
2016-04-16,390878914,TNT GDN,uservertical::92000,214707,43,0.0,357905360
2016-04-04,390878914,TNT GDN,uservertical::92913,177,0,0.0,255840
2016-04-18,390878914,TNT GDN,uservertical::92000,17645,4,0.0,21998610
2016-04-05,390878914,TNT GDN,uservertical::92913,242,0,0.0,259500
2016-04-14,390878914,TNT GDN,uservertical::92913,4721,1,0.0,7363900
2016-04-15,390878914,TNT GDN,uservertical::92913,4106,0,0.0,6190300
2016-04-10,390878914,TNT GDN,uservertical::92000,198799,70,0.0,327270740
2016-04-12,390878914,TNT GDN,uservertical::92000,37028,3,0.0,54515290
2016-04-03,390878914,TNT GDN,uservertical::92913,289,0,0.0,481360
2016-04-08,390878914,TNT GDN,uservertical::92000,123013,21,0.0,208583870
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92913,5,0,0.0,4570000
2016-04-04,390878914,TNT GDN,uservertical::92000,235537,40,0.0,363987060
2016-04-10,390878914,TNT GDN,uservertical::92913,4259,0,0.0,8167000
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92913,1,0,0.0,0
2016-04-11,390878914,TNT GDN,uservertical::92913,391,0,0.0,827280
2016-04-08,390878914,TNT GDN,uservertical::92913,3234,0,0.0,6966000
2016-04-10,390878914,TNT GDN,uservertical::92913,461,0,0.0,1364940
2016-04-19,390878914,TNT GDN,uservertical::92913,57,0,0.0,84140
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91401,7,0,0.0,0
2016-04-04,390878914,TNT GDN,uservertical::92913,4160,1,0.0,6331330
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92507,11,0,0.0,0
2016-04-03,390878914,TNT GDN,uservertical::92913,4271,1,0.0,5782800
2016-04-05,390878914,TNT GDN,uservertical::92000,238429,54,0.0,355414030
2016-04-15,390878914,TNT GDN,uservertical::92913,226,0,0.0,235650
2016-04-12,390878914,TNT GDN,uservertical::92000,223549,52,0.0,349527030
2016-04-07,390878914,TNT GDN,uservertical::92000,54927,9,0.0,87858840
2016-04-07,390878914,TNT GDN,uservertical::92000,179453,35,0.0,273068420
2016-04-10,390878914,TNT GDN,uservertical::92000,22688,4,0.0,37008060
2016-04-13,390878914,TNT GDN,uservertical::92000,32606,3,0.0,40966040
2016-04-09,390878914,TNT GDN,uservertical::92913,1607,0,0.0,5090920
2016-04-17,390878914,TNT GDN,uservertical::92913,3686,1,0.0,5663000
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92507,112,0,0.0,24560000
2016-04-12,390878914,TNT GDN,uservertical::92913,4641,1,0.0,7945690
2016-04-15,390878914,TNT GDN,uservertical::92000,23226,4,0.0,27599700
2016-04-14,390878914,TNT GDN,uservertical::92000,20261,4,0.0,22584940
2016-04-03,390878914,TNT GDN,uservertical::92000,21642,7,0.0,28238370
2016-04-07,390878914,TNT GDN,uservertical::92913,283,1,0.0,452620
2016-04-02,390878914,TNT GDN,uservertical::92913,3235,0,0.0,7763670
2016-04-16,390878914,TNT GDN,uservertical::92913,128,0,0.0,214220
2016-04-17,390878914,TNT GDN,uservertical::92000,256016,70,0.0,370191030
2016-04-11,390878914,TNT GDN,uservertical::92000,25057,1,0.0,42603020
2016-04-01,390878914,TNT GDN,uservertical::92913,1208,1,0.0,2699920
2016-04-01,390878914,TNT GDN,uservertical::92000,67958,9,0.0,116720320
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::90900,2,0,0.0,0
2016-04-13,390878914,TNT GDN,uservertical::92913,4568,2,0.0,6527870
2016-04-17,390878914,TNT GDN,uservertical::92913,147,0,0.0,123480
2016-04-18,390878914,TNT GDN,uservertical::92000,224385,37,0.0,368971020
2016-04-09,390878914,TNT GDN,uservertical::92000,66517,18,0.0,116846700
2016-04-01,390878914,TNT GDN,uservertical::92913,3104,0,0.0,5113330
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::91800,45,1,0.0,19850000
2016-04-17,390878914,TNT GDN,uservertical::92000,14846,5,0.0,15577520
2016-04-08,390878914,TNT GDN,uservertical::92913,2223,0,0.0,3157110
2016-04-02,390878914,TNT GDN,uservertical::92000,25742,5,0.0,37959360
2016-04-19,390878914,TNT GDN,uservertical::92000,1348,1,0.0,2108350
2016-04-16,390878914,TNT GDN,uservertical::92000,17304,1,0.0,20680880
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92505,7,0,0.0,0
2016-04-02,390878914,TNT GDN,uservertical::92913,503,0,0.0,1431740
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91600,8,0,0.0,5470000
2016-04-19,390878914,TNT GDN,uservertical::92000,71,0,0.0,73710
2016-04-12,390878914,TNT GDN,uservertical::92913,460,1,0.0,710560
2016-04-04,390878914,TNT GDN,uservertical::92000,22298,2,0.0,31774700
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::91000,1,0,0.0,0
2016-04-15,390878914,TNT GDN,uservertical::92000,244127,46,0.0,364345320
2016-04-18,390878914,TNT GDN,uservertical::92913,3515,0,0.0,6135790
2016-04-18,390878914,TNT GDN,uservertical::92913,113,0,0.0,197920
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::91600,1,0,0.0,0
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::91000,30,0,0.0,21370000
2016-04-14,390878914,TNT GDN,uservertical::92000,241992,77,0.0,354117680
